Comparison of mean adc for PMT 2 before and after resistors.
             (1593)                (1602)
Pixel        Mean      Sigma       Mean       Sigma
1  	     335       95	   417	      95         
2            453       88	   406	      91
3	     455       108	   422	      85           
4            369       79	   395	      73
5            722       166	   345	      74
6            406       98	   389	      83
7            397       79	   422	      89
8            415       79	   421	      86
9            474       107	   551	      116
10           368       76	   395	      84
11           400       93	   420	      97
14           378       83	   397	      84
15           331       72	   411	      83
16           339       78	   415	      92
