Comparison of mean adc for PMT 11 before and after resistors.
             (1714)    	       	  	 (1740)
Pixel        Mean      Sigma       Mean       Sigma	
1	     221.5     72.6	   193.1      75.7
3	     207.4     81.2	   157.0      87.0
4	     234.6     82.6	   198.7      65.0
5	     231.9     77.8	   185.6      67.2
7	     576.0     133.9	   169.1      80.7
8	     464.2     159.2	   203.0      90.4
9	     175.2     54.2	   173.7      64.1
10	     234.7     68.1	   205.9      68.3
11	     168.8     63.4	   169.8      72.4
12	     542.5     166.8	   171.1      61.2
13	     256.6     101.4	   184.5      66.1
14	     291.1     113.2       181.5      83.0
15	     185.6     83.7	   195.7      85.9
16	     270.1     90.5        190.4      91.6
