Comparison of mean adc for PMT 12 before and after resistors.
             (1738)    	       	  	 (1739)
Pixel        Mean      Sigma       Mean       Sigma
1	     961.7     299.9	   643.1      178.9
3	     492.6     163.1	   545.7      171.9
4	     717.0     161.8	   726.5      191.2
5	     860.8     190.9	   611.9      157.0
7	     642.0     149.6	   588.6      159.2	         
8	     682.8     160.2	   621.5      164.2
9	     584.4     198.1	   622.7      206.2
10	     633.0     162.7	   604.2      184.2
11	     563.5     142.1	   617.9      151.1	   
12	     697.6     189.2	   638.6      134.6
13	     766.9     266.9	   676.4      211.7
14	     584.6     248.7       586.4      205.0
15	     598.4     141.6	   714.5      180.7
16 `	     738.5     207.5	   624.4      144.8
