Comparison of mean adc for PMT 1 before and after resistors.
             (1711)    	       	 	(1722)
Pixel        Mean      Sigma       Mean       Sigma
1	     330       140.5	   154.0      74.0
2	     314       68.5	   142.8      72.1
5	     447       118.1       262.2      70.5
6	     544       156.5	   404.1      105.5
7	     427       137.4	   345.7      83.2
8	     337       82.0	   251.3      93.0
9	     592       167.1	   283.0      75.4
10	     544       142.4	   379.1      109.5
11	     718       226.9	   363.1      86.1 
12	     441       108.1	   368.8      121.4
13	     467       132.0	   381.1      90.9
14	     522       166.0	   357.2      158.5
15	     717       165.6       394.4      90.5
16	     552       159.0	   357.9      112.3
