Comparison of mean adc for PMT 9 before and after resistors.
             (1714)    	       	 	(1738)
Pixel        Mean      Sigma       Mean       Sigma
2	     321.5     140.9	   228.2      98.5
3	     291.6     105.9	   260.8      161.7
4	     527.9     147.6	   270.9      91.6
5	     217.5     94.8	   231.1      108.5
6	     232.5     105.5	   295.5      109.2
7	     249.7     86.2	   233.5      113.2
8	     344.7     96.8	   251.1      97.1
9	     460.3     142.6	   322.2      112.3
10	     528.1     194.5	   299.2      129.1
11	     527.6     170.9	   251.4      90.4
12	     561.6     159.1	   251.0      91.6
14	     732.7     235.9	   275.7      137.9
15	     691.9     258.5	   210.8      93.3
16	     1536.8    527.3	   298.9      122.9
