Comparison of mean ADC for PMT 9 before and after resistors optimized.
	      Run 1899 	       	 	Run 1915
Pixel	      Mean	Sigma		Mean	Sigma
1	      493.1	153.2		466.3	162.1
3	      541.2	157.4		496.3	167.7
4	      739.8	190.8		535.3	169.4
5	      490.0	170.2		468.2	163.0
6	      484.5	150.7		436.7	136.5
7	      536.9	156.5		502.3	154.5
8	      444.5	129.8		411.2	126.2
9	      908.5	234.8		577.1	204.8
10	      1189	330		546.5	141.5
11	      1160	270		538.8	189.7
12	      1007	334		568.6	173.9
13	      2006	466		519.9	162.1
14	      1626	416		535.9	173.4
15	      1437	281		522.8	172.3
