Comparison of mean adc for PMT 10 before and after resistors.
	      	   (1789)      	  	     	   (1821)
Pixel	      Mean     Sigma   	 	    Mean	Sigma
1	      225.9    98.9		    293.7	95.8
2	      207.2    80.1 		    309.6	114.3
3	      201.1    84.0		    280.4	88.9
4	      319.6    96.3   		    265.3	82.3
5	      338.0    104.9		    285.4	104.5
6	      322.2    105.3		    288.4	90.5
7	      281.7    130.6		    322.1	125.4
8	      409.9    116.5	      	    254.7	75.9
9	      307.5    108.6		    272.1	102.1
10	      220.6    63.4		    229.9	104.9
12	      409.2    116.8		    225.1	85.1
13	      416.6    100.3		    242.3	104.9
14	      300.4    96.3		    235.9	88.6
15	      281.7    79.5		    253.4	91.3
