Comparison of mean adc for PMT 11 before and after resistors.
	      	   (1790)      	  	    	   (1812)
Pixel	      Mean     Sigma   	 	    Mean	Sigma
1	      610.6    145.4		    454.3	129.4
2	      393.6    96.9		    414.5	102.1
3	      541.2    140.7		    493.4	169.4
4	      598.4    134.5		    480.7	117.7
5	      602.4    207.2		    491.4	102.1
6	      780.8    191.1		    514.1	123.1
7	      1120.0   247.9		    503.2	160.0
8	      1295.6   316.2		    486.7	116.3
9             420.8    92.4		    391.0	93.7
10	      620.1    180.8		    464.9	111.0
11	      413.1    88.8		    404.2	91.3
12	      1403.0   349.0		    469.2	118.7
14	      686.7    140.3		    467.6	138.6
15	      585.7    197.8		    456.3	108.9
