Comparison of mean adc for PMT 12 before and after resistors.
	      Run 1790 	       	  	     Run 1812
Pixel	      Mean		Sigma	     Mean	Sigma
1	      454.6		137.5	     212.1	59.6
2	      338.3		106.9	     219.1	56.9
3	      251.8		61.6	     225.9	52.6
4	      274.1		70.3	     226.2	51.4
5	      322.8		99.4	     229.7	49.2
6	      295.5		64.3	     212.1	54.2
7	      242.8		55.4	     217.5	55.6
8	      285.6		64.7	     210.6	46.5
9	      220.4		58.4	     197.7	56.5
10	      201.7		46.1	     183.3	45.2
11	      183.4		51.5	     178.2	49.6
12	      252.5		57.0	     219.0	56.7
14	      248.0		67.1	     231.4	52.1
15	      249.3		63.6	     225.6	66.0
