Comparison of mean adc for PMT 1 before and after resistors.
	      (1785)					(1803)
Pixel	      Mean	Sigma   	 	    Mean	Sigma
2	      160.2	196.5			    259.1	99.6
3	      394.6   	97.3			    345.1	97.5
4	      602.6   	158.5			    452.5	118.0
5	      607.1	146.0			    426.8	177.4
6	      296.9	92.3			    276.3	94.9
7	      540.9	145.8			    385.4	103.5
8	      617.0	146.0			    387.9	95.7
9	      600.4	126.6			    375.8	103.7
10	      519.9	98.4			    325.4	85.2
11	      794.0	197.0			    364.3	112.8
12	      572.5	130.1			    380.4	100.9
14	      579.5	129.9			    355.6	98.2
15	      815.5	209.2			    381.3	100.8
16	      524.9	127.6			    376.1	108.1
