Comparison of mean adc for PMT 2 before and after resistors.
	      (1785)   	       	 	    (1803)
Pixel	      Mean     Sigma   	 	    Mean	Sigma
1	      263.7    94.5		    293.2	96.0
2	      405.5    119.5		    323.6	93.6
4	      443.2    123.5		    319.0	115.1
5	      650.4    177.3		    358.5	105.5
6	      422.3    101.1		    314.1	75.6
7	      408.1    92.4		    292.6	105.5
8	      501.1    114.9		    320.1	104.4
9	      452.5    113.7		    324.8	111.5
10	      449.2    105.9		    332.1	102.2	
11	      554.9    120.7		    349.3	101.5
12	      416.3    99.1		    320.8	98.8
13	      521.6    142.6		    337.2	107.9
14	      386.4    106.5		    375.7	108.1
15	      332.8    80.1		    362.0	101.5
