Comparison of mean adc for PMT 4 before and after resistors.
	      (1788)   	       	 	    	  (1818)
Pixel	      Mean     Sigma   	 	    Mean	Sigma
1	      135.0    36.3		    141.2	40.4
2	      345.2    112.8		    262.3	78.9
3	      149.2    43.1		    145.6	40.9
5	      146.0    52.8		    142.4	47.5
6	      179.0    55.9		    201.1	61.3
7	      165.6    76.0		    155.1	53.9	
8	      132.0    36.2		    119.1	41.2
9	      131.5    45.8		    138.1	43.3
10	      100.7    19.5		    110.1	33.7
11	      104.2    48.1		    123.7	37.3
12	      210.0    60.0		    124.5	33.8	    
13	      167.9    68.8		    153.4	40.6	
14	      213.7    70.5		    147.0	41.8
16	      139.6    53.0		    138.7	41.7
