Comparison of mean adc for PMT 6 before and after resistors.
	      	   (1785)      	 	    	  (1817)
Pixel	      Mean     Sigma   	 	    Mean	Sigma
1	      796.0    252.3		    336.0	97.1
2	      399.3    149.9		    296.7	90.3
3	      2080.2   533.3		    290.8	99.8
4	      622.2    188.4		    286.4	91.7
5	      370.4    104.7		    319.4	108.7
6	      425.2    117.7		    312.4	78.9
7	      325.3    95.3		    320.0	84.0
8	      440.5    124.6		    306.1	92.4
9	      249.7    78.3		    227.5	68.1
10	      407.8    142.7		    319.6	89.8
11	      344.0    90.5		    298.0	85.2
12	      395.8    96.2	            284.4	93.8
14	      408.3    99.6		    297.5	77.7
15	      605.1    243.2		    351.6	99.6
