Comparison of mean adc for PMT 8 before and after resistors.
	      	   (1788)      	 	    (1807)
Pixel	      Mean     Sigma   	 	    Mean	Sigma
1	      803.8    221.9		    508.3	198.0
2	      461.1    95.3		    555.2	166.9
3	      428.6    167.0		    523.6	167.6
4	      535.2    123.5		    555.2	120.5
5	      538.9    110.6		    569.0	120.8
7	      488.2    134.6		    572.4	145.0	
8	      551.1    110.3		    574.6	116.6
9	      549.6    147.5		    597.1	114.8
10	      473.6    131.6   		    555.5	143.2
11	      458.8    119.7		    530.6	118.9
12	      728.2    177.0		    540.7	112.7
13	      1835.7   397.6		    557.6	129.4
14	      508.9    98.1		    552.5	117.9
15	      564.9    125.2		    588.8	132.8
